Date,AveragePrice,region,type
10-06-2019,59.54,June,Energy
11-06-2019,57.3,June,Energy
12-06-2019,57.46,June,Energy
13-06-2019,57.41,June,Energy
14-06-2019,55.63,June,Energy
15-06-2019,45.32,June,Energy
16-06-2019,36.05,June,Energy
17-06-2019,55.8,June,Energy
18-06-2019,58.14,June,Energy
19-06-2019,57.24,June,Energy
20-06-2019,57.54,June,Energy
21-06-2019,56.85,June,Energy
22-06-2019,53.76,June,Energy
23-06-2019,37.66,June,Energy
24-06-2019,59.48,June,Energy
25-06-2019,59.24,June,Energy
26-06-2019,57.55,June,Energy
27-06-2019,57.23,June,Energy
28-06-2019,57.75,June,Energy
29-06-2019,37.82,June,Energy
30-06-2019,36.97,June,Energy
01-07-2019,56.52,July,Energy
02-07-2019,56.6,July,Energy
03-07-2019,56.7,July,Energy
04-07-2019,56.55,July,Energy
05-07-2019,57.97,July,Energy
06-07-2019,36.07,July,Energy
07-07-2019,34.56,July,Energy
08-07-2019,56.52,July,Energy
09-07-2019,59.64,July,Energy
10-07-2019,62.08,July,Energy
11-07-2019,62.33,July,Energy
12-07-2019,59.43,July,Energy
13-07-2019,36.51,July,Energy
14-07-2019,35.88,July,Energy
15-07-2019,57.28,July,Energy
16-07-2019,61.3,July,Energy
17-07-2019,60.88,July,Energy
18-07-2019,59.92,July,Energy
19-07-2019,56.05,July,Energy
20-07-2019,36.31,July,Energy
21-07-2019,34.97,July,Energy
22-07-2019,58.65,July,Energy
23-07-2019,60.2,July,Energy
24-07-2019,57.84,July,Energy
25-07-2019,59.69,July,Energy
26-07-2019,57.14,July,Energy
27-07-2019,38.65,July,Energy
28-07-2019,35.94,July,Energy
29-07-2019,55.98,July,Energy
30-07-2019,57.03,July,Energy
31-07-2019,57.85,July,Energy
01-08-2019,55.33,August,Energy
02-08-2019,49.85,August,Energy
03-08-2019,31.44,August,Energy
04-08-2019,31.65,August,Energy
05-08-2019,50.2,August,Energy
06-08-2019,50.88,August,Energy
07-08-2019,48.55,August,Energy
08-08-2019,47.9,August,Energy
09-08-2019,49.28,August,Energy
10-08-2019,33.34,August,Energy
11-08-2019,32.34,August,Energy
12-08-2019,48.05,August,Energy
13-08-2019,47.08,August,Energy
14-08-2019,44.73,August,Energy
15-08-2019,38.78,August,Energy
16-08-2019,38.83,August,Energy
17-08-2019,30.69,August,Energy
18-08-2019,31,August,Energy
19-08-2019,38.72,August,Energy
20-08-2019,39.85,August,Energy
21-08-2019,37.74,August,Energy
22-08-2019,36.81,August,Energy
23-08-2019,36.05,August,Energy
24-08-2019,31.28,August,Energy
25-08-2019,30.35,August,Energy
26-08-2019,29.4,August,Energy
27-08-2019,35.68,August,Energy
28-08-2019,36.87,August,Energy
29-08-2019,36.36,August,Energy
30-08-2019,35.86,August,Energy
31-08-2019,31.13,August,Energy
01-09-2019,30.81,September,Energy
02-09-2019,35.7,September,Energy
03-09-2019,36.6,September,Energy
04-09-2019,41.51,September,Energy
05-09-2019,46.61,September,Energy
06-09-2019,46.6,September,Energy
07-09-2019,34.19,September,Energy
08-09-2019,29.75,September,Energy
09-09-2019,47.15,September,Energy
10-09-2019,51.38,September,Energy
11-09-2019,54.2,September,Energy
12-09-2019,58.78,September,Energy
13-09-2019,68.28,September,Energy
14-09-2019,46.92,September,Energy
15-09-2019,34.54,September,Energy
16-09-2019,78.62,September,Energy
17-09-2019,70.51,September,Energy
18-09-2019,69.2,September,Energy
19-09-2019,70.1,September,Energy
20-09-2019,65.26,September,Energy
21-09-2019,42.1,September,Energy
22-09-2019,36.04,September,Energy
23-09-2019,78.01,September,Energy
24-09-2019,80.29,September,Energy
25-09-2019,77.95,September,Energy
26-09-2019,78.92,September,Energy
27-09-2019,76.12,September,Energy
28-09-2019,46.2,September,Energy
29-09-2019,37.22,September,Energy
30-09-2019,73.82,September,Energy
01-10-2019,78.74,October,Energy
02-10-2019,75.53,October,Energy
03-10-2019,74.47,October,Energy
04-10-2019,75.71,October,Energy
05-10-2019,62.65,October,Energy
06-10-2019,60,October,Energy
07-10-2019,77.6,October,Energy
08-10-2019,77.12,October,Energy
09-10-2019,74.11,October,Energy
10-10-2019,72.6,October,Energy
11-10-2019,70.88,October,Energy
12-10-2019,57.14,October,Energy
13-10-2019,55.25,October,Energy
14-10-2019,73.7,October,Energy
15-10-2019,77.78,October,Energy
16-10-2019,78.43,October,Energy
17-10-2019,78.63,October,Energy
18-10-2019,60.15,October,Energy
19-10-2019,40.1,October,Energy
20-10-2019,55.26,October,Energy
21-10-2019,72.14,October,Energy
22-10-2019,73.73,October,Energy
23-10-2019,74.91,October,Energy
24-10-2019,75.41,October,Energy
25-10-2019,59.07,October,Energy
26-10-2019,40.38,October,Energy
27-10-2019,59.54,October,Energy
28-10-2019,74.13,October,Energy
29-10-2019,71.95,October,Energy
30-10-2019,71.03,October,Energy
31-10-2019,72.78,October,Energy
01-11-2019,57.63,November,Energy
02-11-2019,41.78,November,Energy
03-11-2019,57.3,November,Energy
04-11-2019,72.06,November,Energy
05-11-2019,76.21,November,Energy
06-11-2019,73.86,November,Energy
07-11-2019,75.65,November,Energy
08-11-2019,61.49,November,Energy
09-11-2019,53.28,November,Energy
10-11-2019,58.02,November,Energy
11-11-2019,71.04,November,Energy
12-11-2019,70.12,November,Energy
13-11-2019,56.49,November,Energy
14-11-2019,57.02,November,Energy
15-11-2019,58.21,November,Energy
16-11-2019,45.62,November,Energy
17-11-2019,41.64,November,Energy
18-11-2019,62.38,November,Energy
19-11-2019,67.64,November,Energy
20-11-2019,64.79,November,Energy
21-11-2019,70.6,November,Energy
22-11-2019,75.98,November,Energy
23-11-2019,54.95,November,Energy
24-11-2019,62.21,November,Energy
25-11-2019,96.3,November,Energy
26-11-2019,118.47,November,Energy
27-11-2019,102.91,November,Energy
28-11-2019,124.69,November,Energy
29-11-2019,117.6,November,Energy
30-11-2019,102.97,November,Energy
01-12-2019,130.29,December,Energy
02-12-2019,118.07,December,Energy
03-12-2019,103.95,December,Energy
04-12-2019,105.73,December,Energy
05-12-2019,106.03,December,Energy
06-12-2019,64.5,December,Energy
07-12-2019,38.23,December,Energy
08-12-2019,61.63,December,Energy
09-12-2019,88.45,December,Energy
10-12-2019,87.15,December,Energy
11-12-2019,88.71,December,Energy
12-12-2019,96.25,December,Energy
13-12-2019,90.69,December,Energy
14-12-2019,55.53,December,Energy
15-12-2019,46.73,December,Energy
16-12-2019,76.59,December,Energy
17-12-2019,87.85,December,Energy
18-12-2019,83.56,December,Energy
19-12-2019,83.21,December,Energy
20-12-2019,79.57,December,Energy
21-12-2019,40.19,December,Energy
22-12-2019,38.71,December,Energy
23-12-2019,74.1,December,Energy
24-12-2019,51.7,December,Energy
25-12-2019,47.4,December,Energy
26-12-2019,46.51,December,Energy
27-12-2019,44.48,December,Energy
28-12-2019,39.82,December,Energy
29-12-2019,37.12,December,Energy
30-12-2019,51.1,December,Energy
31-12-2019,51.31,December,Energy
01-01-2019,13.1368571,January,Carbon Emission
02-01-2019,16.2708479,January,Carbon Emission
03-01-2019,16.328177,January,Carbon Emission
04-01-2019,16.2687246,January,Carbon Emission
05-01-2019,14.3917274,January,Carbon Emission
06-01-2019,9.7777965,January,Carbon Emission
07-01-2019,15.1582387,January,Carbon Emission
08-01-2019,17.1414009,January,Carbon Emission
09-01-2019,19.0120282,January,Carbon Emission
10-01-2019,20.4452557,January,Carbon Emission
11-01-2019,19.6044289,January,Carbon Emission
12-01-2019,15.9120102,January,Carbon Emission
13-01-2019,8.1619652,January,Carbon Emission
14-01-2019,19.2413446,January,Carbon Emission
15-01-2019,19.682991,January,Carbon Emission
16-01-2019,19.7997725,January,Carbon Emission
17-01-2019,19.5152503,January,Carbon Emission
18-01-2019,20.3157344,January,Carbon Emission
19-01-2019,15.0074844,January,Carbon Emission
20-01-2019,13.2111726,January,Carbon Emission
21-01-2019,21.4156038,January,Carbon Emission
22-01-2019,20.2668985,January,Carbon Emission
23-01-2019,21.0482729,January,Carbon Emission
24-01-2019,20.2244325,January,Carbon Emission
25-01-2019,18.5640119,January,Carbon Emission
26-01-2019,15.2601571,January,Carbon Emission
27-01-2019,16.3387935,January,Carbon Emission
28-01-2019,20.4452557,January,Carbon Emission
29-01-2019,20.9399846,January,Carbon Emission
30-01-2019,20.6618323,January,Carbon Emission
31-01-2019,21.9421822,January,Carbon Emission
01-02-2019,22.0632103,Febuary,Carbon Emission
02-02-2019,18.4068877,Febuary,Carbon Emission
03-02-2019,18.0501733,Febuary,Carbon Emission
04-02-2019,21.8997162,Febuary,Carbon Emission
05-02-2019,21.9421822,Febuary,Carbon Emission
06-02-2019,22.8530779,Febuary,Carbon Emission
07-02-2019,25.3224758,Febuary,Carbon Emission
08-02-2019,25.352202,Febuary,Carbon Emission
09-02-2019,22.9592429,Febuary,Carbon Emission
10-02-2019,22.2479374,Febuary,Carbon Emission
11-02-2019,24.7003489,Febuary,Carbon Emission
12-02-2019,24.5134985,Febuary,Carbon Emission
13-02-2019,25.1462419,Febuary,Carbon Emission
14-02-2019,23.0399283,Febuary,Carbon Emission
15-02-2019,19.6065522,Febuary,Carbon Emission
16-02-2019,17.453526,Febuary,Carbon Emission
17-02-2019,17.0904417,Febuary,Carbon Emission
18-02-2019,23.0186953,Febuary,Carbon Emission
19-02-2019,23.3074641,Febuary,Carbon Emission
20-02-2019,21.3476582,Febuary,Carbon Emission
21-02-2019,20.9718341,Febuary,Carbon Emission
22-02-2019,19.8252521,Febuary,Carbon Emission
23-02-2019,15.5956385,Febuary,Carbon Emission
24-02-2019,15.5531725,Febuary,Carbon Emission
25-02-2019,20.8210798,Febuary,Carbon Emission
26-02-2019,21.2648495,Febuary,Carbon Emission
27-02-2019,21.9506754,Febuary,Carbon Emission
28-02-2019,21.912456,Febuary,Carbon Emission
01-03-2019,20.9060118,March,Carbon Emission
03-03-2019,16.0415315,March,Carbon Emission
04-03-2019,22.4836237,March,Carbon Emission
05-03-2019,23.504931,March,Carbon Emission
06-03-2019,23.7554804,March,Carbon Emission
07-03-2019,23.4921912,March,Carbon Emission
08-03-2019,22.6853372,March,Carbon Emission
09-03-2019,19.4473047,March,Carbon Emission
10-03-2019,18.0289403,March,Carbon Emission
11-03-2019,21.0376564,March,Carbon Emission
12-03-2019,21.2011505,March,Carbon Emission
13-03-2019,21.0992321,March,Carbon Emission
14-03-2019,18.1903111,March,Carbon Emission
15-03-2019,17.4641425,March,Carbon Emission
16-03-2019,14.1560411,March,Carbon Emission
17-03-2019,14.1220683,March,Carbon Emission
18-03-2019,17.4089367,March,Carbon Emission
19-03-2019,16.5744798,March,Carbon Emission
20-03-2019,15.9948189,March,Carbon Emission
21-03-2019,14.5913176,March,Carbon Emission
22-03-2019,13.7504908,March,Carbon Emission
23-03-2019,10.2873885,March,Carbon Emission
24-03-2019,10.1875934,March,Carbon Emission
25-03-2019,14.1348081,March,Carbon Emission
26-03-2019,13.950081,March,Carbon Emission
27-03-2019,14.5891943,March,Carbon Emission
28-03-2019,13.6230928,March,Carbon Emission
29-03-2019,13.1241173,March,Carbon Emission
30-03-2019,10.0962915,March,Carbon Emission
31-03-2019,10.2895118,March,Carbon Emission
01-04-2019,13.8821354,April,Carbon Emission
02-04-2019,14.3365216,April,Carbon Emission
03-04-2019,14.5976875,April,Carbon Emission
04-04-2019,18.132982,April,Carbon Emission
05-04-2019,18.1138723,April,Carbon Emission
06-04-2019,16.8356457,April,Carbon Emission
07-04-2019,16.3663964,April,Carbon Emission
08-04-2019,17.8590763,April,Carbon Emission
09-04-2019,16.3727663,April,Carbon Emission
10-04-2019,16.5787264,April,Carbon Emission
11-04-2019,16.9545505,April,Carbon Emission
12-04-2019,16.1922858,April,Carbon Emission
13-04-2019,13.1941862,April,Carbon Emission
14-04-2019,13.1198707,April,Carbon Emission
15-04-2019,15.4321444,April,Carbon Emission
16-04-2019,15.3748153,April,Carbon Emission
17-04-2019,15.8313248,April,Carbon Emission
18-04-2019,14.9098126,April,Carbon Emission
19-04-2019,12.9160339,April,Carbon Emission
20-04-2019,12.8353485,April,Carbon Emission
21-04-2019,12.782266,April,Carbon Emission
22-04-2019,13.3322007,April,Carbon Emission
23-04-2019,14.799401,April,Carbon Emission
24-04-2019,14.6528933,April,Carbon Emission
25-04-2019,15.0924164,April,Carbon Emission
26-04-2019,14.7972777,April,Carbon Emission
27-04-2019,12.9478834,April,Carbon Emission
28-04-2019,12.4595244,April,Carbon Emission
29-04-2019,16.094614,April,Carbon Emission
30-04-2019,17.4853755,April,Carbon Emission
01-05-2019,17.3643474,May,Carbon Emission
02-05-2019,18.706273,May,Carbon Emission
