date,volume
2013-06-27,779742.0
2013-06-28,761716.0
2013-06-29,659956.0
2013-06-30,625974.0
2013-07-01,742790.0
2013-07-02,770622.0
2013-07-03,775106.0
2013-07-04,758688.0
2013-07-05,755742.0
2013-07-06,666613.0
2013-07-07,652932.0
2013-07-08,768132.0
2013-07-09,777746.0
2013-07-10,779236.0
2013-07-11,770234.0
2013-07-12,767059.0
2013-07-13,684043.0
2013-07-14,658794.0
2013-07-15,772091.0
2013-07-16,792353.0
2013-07-17,800159.0
2013-07-18,800492.0
2013-07-19,776298.0
2013-07-20,679834.0
2013-07-21,648412.0
2013-07-22,779945.0
2013-07-23,805646.0
2013-07-24,786880.0
2013-07-25,784328.0
2013-07-26,760889.0
2013-07-27,679813.0
2013-07-28,630175.0
2013-07-29,737183.0
2013-07-30,752479.0
2013-07-31,762469.0
2013-08-01,770940.0
2013-08-02,743328.0
2013-08-03,638634.0
2013-08-04,633353.0
2013-08-05,751170.0
2013-08-06,747598.0
2013-08-07,749435.0
2013-08-08,749352.0
2013-08-09,730574.0
2013-08-10,656904.0
2013-08-11,623237.0
2013-08-12,729000.0
2013-08-13,753244.0
2013-08-14,767812.0
2013-08-15,769164.0
2013-08-16,756982.0
2013-08-17,655878.0
2013-08-18,630541.0
2013-08-19,747283.0
2013-08-20,771164.0
2013-08-21,772995.0
2013-08-22,789954.0
2013-08-23,773672.0
2013-08-24,687122.0
2013-08-25,645147.0
2013-08-26,671621.0
2013-08-27,765236.0
2013-08-28,779582.0
2013-08-29,775367.0
2013-08-30,756258.0
2013-08-31,656865.0
2013-09-01,630024.0
2013-09-02,748740.0
2013-09-03,797111.0
2013-09-04,794146.0
2013-09-05,801579.0
2013-09-06,786448.0
2013-09-07,678457.0
2013-09-08,671680.0
2013-09-09,792988.0
2013-09-10,786051.0
2013-09-11,818903.0
2013-09-12,814724.0
2013-09-13,807560.0
2013-09-14,713264.0
2013-09-15,681874.0
2013-09-16,775965.0
2013-09-17,831644.0
2013-09-18,813514.0
2013-09-19,827365.0
2013-09-20,807265.0
2013-09-21,720853.0
2013-09-22,698607.0
2013-09-23,815376.0
2013-09-24,828491.0
2013-09-25,828941.0
2013-09-26,818205.0
2013-09-27,794159.0
2013-09-28,702801.0
2013-09-29,667879.0
2013-09-30,787947.0
2013-10-01,802498.0
2013-10-02,823596.0
2013-10-03,824719.0
2013-10-04,807829.0
2013-10-05,717675.0
2013-10-06,683343.0
2013-10-07,801058.0
2013-10-08,809104.0
2013-10-09,803284.0
2013-10-10,810482.0
2013-10-11,818509.0
2013-10-12,738518.0
2013-10-13,736878.0
2013-10-14,856789.0
2013-10-15,868246.0
2013-10-16,866235.0
2013-10-17,851912.0
2013-10-18,840618.0
2013-10-19,742931.0
2013-10-20,714784.0
2013-10-21,832874.0
2013-10-22,835778.0
2013-10-23,819275.0
2013-10-24,849519.0
2013-10-25,812248.0
2013-10-26,723975.0
2013-10-27,719878.0
2013-10-28,816382.0
2013-10-29,844376.0
2013-10-30,858222.0
2013-10-31,851394.0
2013-11-01,853843.0
2013-11-02,765503.0
2013-11-03,742563.0
2013-11-04,884988.0
2013-11-05,910094.0
2013-11-06,913532.0
2013-11-07,887912.0
2013-11-08,904586.0
2013-11-09,834094.0
2013-11-10,808368.0
2013-11-11,912783.0
2013-11-12,907002.0
2013-11-13,917674.0
2013-11-14,903954.0
2013-11-15,927766.0
2013-11-16,834445.0
2013-11-17,823809.0
2013-11-18,930548.0
2013-11-19,953684.0
2013-11-20,961095.0
2013-11-21,961207.0
2013-11-22,963988.0
2013-11-23,883173.0
2013-11-24,862584.0
2013-11-25,979707.0
2013-11-26,991092.0
2013-11-27,969577.0
2013-11-28,969884.0
2013-11-29,915856.0
2013-11-30,853048.0
2013-12-01,852001.0
2013-12-02,965549.0
2013-12-03,977764.0
2013-12-04,968368.0
2013-12-05,967177.0
2013-12-06,977764.0
2013-12-07,870949.0
2013-12-08,813270.0
2013-12-09,933598.0
2013-12-10,963498.0
2013-12-11,979652.0
2013-12-12,967897.0
2013-12-13,927020.0
2013-12-14,832865.0
2013-12-15,809181.0
2013-12-16,923871.0
2013-12-17,959066.0
2013-12-18,937462.0
2013-12-19,947308.0
2013-12-20,917093.0
2013-12-21,810835.0
2013-12-22,794508.0
2013-12-23,885305.0
2013-12-24,810414.0
2013-12-25,741262.0
2013-12-26,748142.0
2013-12-27,793025.0
2013-12-28,795840.0
2013-12-29,788984.0
2013-12-30,824609.0
2013-12-31,814253.0
2014-01-01,754514.0
2014-01-02,858790.0
2014-01-03,875308.0
2014-01-04,851432.0
2014-01-05,836059.0
2014-01-06,909108.0
2014-01-07,920595.0
2014-01-08,939205.0
2014-01-09,942003.0
2014-01-10,946926.0
2014-01-11,855161.0
2014-01-12,858105.0
2014-01-13,952842.0
2014-01-14,981086.0
2014-01-15,957180.0
2014-01-16,954612.0
2014-01-17,943138.0
2014-01-18,848883.0
2014-01-19,829575.0
2014-01-20,970142.0
2014-01-21,974067.0
2014-01-22,961627.0
2014-01-23,962534.0
2014-01-24,966685.0
2014-01-25,838702.0
2014-01-26,839075.0
2014-01-27,952356.0
2014-01-28,960468.0
2014-01-29,971862.0
2014-01-30,998287.0
2014-01-31,968729.0
2014-02-01,840679.0
2014-02-02,806418.0
2014-02-03,929496.0
2014-02-04,945661.0
2014-02-05,943911.0
2014-02-06,962183.0
2014-02-07,932987.0
2014-02-08,816670.0
2014-02-09,806665.0
2014-02-10,955952.0
2014-02-11,956023.0
2014-02-12,975542.0
2014-02-13,948393.0
2014-02-14,966536.0
2014-02-15,834734.0
2014-02-16,815231.0
2014-02-17,948474.0
2014-02-18,943344.0
2014-02-19,936195.0
2014-02-20,891596.0
2014-02-21,882822.0
2014-02-22,791604.0
2014-02-23,766190.0
2014-02-24,885965.0
2014-02-25,894285.0
2014-02-26,904057.0
2014-02-27,909189.0
2014-02-28,933995.0
2014-03-01,836090.0
2014-03-02,800527.0
2014-03-03,926403.0
2014-03-04,930847.0
2014-03-05,922968.0
2014-03-06,903755.0
2014-03-07,864847.0
2014-03-08,763301.0
2014-03-09,739858.0
2014-03-10,866954.0
2014-03-11,896161.0
2014-03-12,899649.0
2014-03-13,896046.0
2014-03-14,862024.0
2014-03-15,742356.0
2014-03-16,709047.0
2014-03-17,837232.0
2014-03-18,843351.0
2014-03-19,832814.0
2014-03-20,842007.0
2014-03-21,832419.0
2014-03-22,769159.0
2014-03-23,760620.0
2014-03-24,869623.0
2014-03-25,905778.0
2014-03-26,914111.0
2014-03-27,906123.0
2014-03-28,884486.0
2014-03-29,754512.0
2014-03-30,697778.0
2014-03-31,848780.0
2014-04-01,843153.0
2014-04-02,842368.0
2014-04-03,855300.0
2014-04-04,843282.0
2014-04-05,741640.0
2014-04-06,697858.0
2014-04-07,834342.0
2014-04-08,807075.0
2014-04-09,818483.0
2014-04-10,821561.0
2014-04-11,798456.0
2014-04-12,705741.0
2014-04-13,667936.0
2014-04-14,776860.0
2014-04-15,795318.0
2014-04-16,781287.0
2014-04-17,775891.0
2014-04-18,706322.0
2014-04-19,682098.0
2014-04-20,668164.0
2014-04-21,675963.0
2014-04-22,798105.0
2014-04-23,805047.0
2014-04-24,804737.0
2014-04-25,820266.0
2014-04-26,697039.0
2014-04-27,698814.0
2014-04-28,809715.0
2014-04-29,813741.0
2014-04-30,806554.0
2014-05-01,822212.0
2014-05-02,805759.0
2014-05-03,706112.0
2014-05-04,662127.0
2014-05-05,675724.0
2014-05-06,761958.0
2014-05-07,768004.0
2014-05-08,810557.0
2014-05-09,750070.0
2014-05-10,680829.0
2014-05-11,661963.0
2014-05-12,783891.0
2014-05-13,794491.0
2014-05-14,777346.0
2014-05-15,774002.0
2014-05-16,747935.0
2014-05-17,656310.0
2014-05-18,621056.0
2014-05-19,747753.0
2014-05-20,770279.0
2014-05-21,758766.0
2014-05-22,775555.0
2014-05-23,751132.0
2014-05-24,681854.0
2014-05-25,637279.0
2014-05-26,672271.0
2014-05-27,763340.0
2014-05-28,777875.0
2014-05-29,773093.0
2014-05-30,761149.0
2014-05-31,671568.0
2014-06-01,637098.0
2014-06-02,755840.0
2014-06-03,772295.0
2014-06-04,778912.0
2014-06-05,749388.0
2014-06-06,730117.0
2014-06-07,659608.0
2014-06-08,623384.0
2014-06-09,752996.0
2014-06-10,743698.0
2014-06-11,747932.0
2014-06-12,756062.0
2014-06-13,749541.0
2014-06-14,665400.0
2014-06-15,640070.0
2014-06-16,741401.0
2014-06-17,745422.0
2014-06-18,759130.0
2014-06-19,749796.0
2014-06-20,729752.0
2014-06-21,639902.0
2014-06-22,627701.0
2014-06-23,745648.0
2014-06-24,760730.0
2014-06-25,746581.0
2014-06-26,749804.0
2014-06-27,743866.0
2014-06-28,662708.0
2014-06-29,622486.0
2014-06-30,739633.0
2014-07-01,749620.0
2014-07-02,732988.0
2014-07-03,738166.0
2014-07-04,725249.0
2014-07-05,656605.0
2014-07-06,632799.0
2014-07-07,741587.0
2014-07-08,760780.0
2014-07-09,723156.0
2014-07-10,745744.0
2014-07-11,745895.0
2014-07-12,661153.0
2014-07-13,626150.0
2014-07-14,722688.0
2014-07-15,749802.0
2014-07-16,754092.0
2014-07-17,766411.0
2014-07-18,735049.0
2014-07-19,687750.0
2014-07-20,651073.0
2014-07-21,753389.0
2014-07-22,765161.0
2014-07-23,756424.0
2014-07-24,759520.0
2014-07-25,749800.0
2014-07-26,667069.0
2014-07-27,628909.0
2014-07-28,733935.0
2014-07-29,727640.0
2014-07-30,721009.0
2014-07-31,738685.0
